ISBN,Rating,Price,Pages,Rating Count,Language_Dummy,Size_Dummy,Famous_Dummy,Categories_Dummy,Serie_Dummy
9.78E+12,3.91,3.32,169,89571,English,Big,Famous,Top_Category,Serie
9.78E+12,3.82,3.09,229,73452,English,Big,Famous,Other,Other
9.78E+12,3.67,7.29,513,56882,English,Big,Famous,Top_Category,Other
9.78E+12,4.01,3.91,224,21536,English,Other,Famous,Top_Category,Serie
9.78E+12,3.97,4.9,241,86465,English,Big,Famous,Top_Category,Serie
9.78E+12,3.98,0.85,320,14594,English,Big,Famous,Top_Category,Other
9.78E+12,3.95,7.58,567,59658,English,Other,Famous,Top_Category,Other
9.78E+12,3.87,5.65,324,53777,English,Big,Famous,Top_Category,Other
9.78E+12,4.04,1.91,436,62698,English,Big,Famous,Top_Category,Other
9.78E+12,3.79,3.73,592,115661,English,Big,Famous,Top_Category,Serie
9.78E+12,3.62,0.85,240,163279,English,Other,Other,Other,Other
9.78E+12,3.79,0.96,579,40763,English,Big,Famous,Top_Category,Other
9.78E+12,3.85,5.74,448,28843,English,Big,Other,Top_Category,Other
9.78E+12,3.93,3.3,419,146553,English,Big,Famous,Top_Category,Other
9.78E+12,4.22,3.92,379,25244,English,Big,Famous,Top_Category,Serie
9.78E+12,4.06,4.34,307,65988,English,Big,Famous,Top_Category,Serie
9.78E+12,4.12,9.08,1011,102983,English,Big,Famous,Top_Category,Serie
9.78E+12,3.57,3.53,208,68403,English,Big,Famous,Top_Category,Serie
9.78E+12,4.41,3.85,392,20649,English,Big,Famous,Top_Category,Other
9.78E+12,3.89,1.59,736,147964,English,Other,Famous,Top_Category,Other
9.78E+12,4.33,5.26,362,58923,English,Big,Famous,Top_Category,Serie
9.78E+12,4.04,1.79,272,27034,English,Big,Other,Other,Serie
9.78E+12,3.7,5.3,283,32277,English,Big,Famous,Top_Category,Other
9.78E+12,4.36,5.99,231,19745,English,Other,Other,Top_Category,Other
9.78E+12,3.75,2.89,564,67365,English,Big,Famous,Other,Serie
9.78E+12,3.62,3.97,455,21233,English,Other,Other,Top_Category,Other
9.78E+12,4.2,3.05,356,54596,English,Other,Famous,Top_Category,Serie
9.78E+12,3.93,2.76,512,29532,English,Big,Famous,Top_Category,Other
9.78E+12,4.11,5.03,352,80870,English,Big,Famous,Other,Other
9.78E+12,3.89,1.71,390,133277,English,Big,Famous,Top_Category,Serie
9.78E+12,3.85,3.05,535,85975,English,Other,Famous,Top_Category,Other
9.78E+12,4.04,0,424,49067,English,Big,Famous,Other,Serie
9.78E+12,3.83,3.4,480,36906,English,Big,Famous,Other,Serie
9.78E+12,3.88,3.64,434,97955,English,Big,Other,Top_Category,Serie
9.78E+12,4.07,9.17,1056,15185,English,Other,Famous,Top_Category,Other
9.78E+12,3.89,4.52,327,192637,English,Big,Famous,Top_Category,Serie
9.78E+12,3.93,4.46,927,29981,English,Other,Famous,Top_Category,Serie
9.78E+12,4.34,34.77,178,114058,English,Big,Famous,Other,Other
9.78E+12,4.13,3.11,400,20908,English,Big,Famous,Other,Other
9.78E+12,4.18,8.2,159,34613,English,Big,Famous,Top_Category,Other
9.78E+12,3.95,5.78,288,8985,English,Big,Other,Top_Category,Other
9.78E+12,4.07,2.45,192,20182,English,Big,Famous,Top_Category,Other
9.78E+12,3.99,2.81,256,14702,English,Big,Other,Top_Category,Other
9.78E+12,4.63,7.7,208,48868,English,Big,Famous,Other,Serie
9.78E+12,3.76,4.55,448,95109,English,Other,Other,Other,Serie
9.78E+12,4.04,3.36,393,47494,English,Big,Famous,Other,Serie
9.78E+12,4.07,5.16,384,47491,English,Big,Famous,Top_Category,Other
9.78E+12,3.8,3.55,465,66639,English,Big,Famous,Top_Category,Serie
9.78E+12,4.29,6.14,650,29556,English,Big,Famous,Top_Category,Other
9.78E+12,3.72,10.36,468,71219,English,Big,Famous,Top_Category,Serie
9.78E+12,4.07,4.21,386,158126,English,Big,Famous,Top_Category,Other
9.78E+12,4.16,2.51,368,29642,English,Big,Famous,Top_Category,Other
9.78E+12,3.82,3.32,891,33918,English,Big,Other,Top_Category,Serie
9.78E+12,3.88,2.76,835,27143,English,Other,Other,Other,Other
9.78E+12,4.27,32.11,293,43988,English,Other,Famous,Top_Category,Serie
9.78E+12,4.15,5.33,912,106302,English,Big,Famous,Other,Serie
9.78E+12,3.91,5.21,241,13984,English,Big,Famous,Top_Category,Other
9.78E+12,4.53,301.74,2934,6406,English,Big,Famous,Other,Serie
9.78E+12,4.05,3.78,522,41627,English,Big,Other,Top_Category,Other
9.78E+12,3.8,3.82,427,85882,English,Big,Other,Top_Category,Other
9.78E+12,4.16,22.32,576,26681,English,Other,Other,Other,Serie
9.78E+12,4.26,2.92,453,53112,English,Big,Famous,Top_Category,Serie
9.78E+12,3.94,5.96,644,10780,English,Big,Famous,Top_Category,Other
9.78E+12,3.86,2.76,774,26145,English,Other,Famous,Other,Serie
9.78E+12,4.11,3.46,176,14948,English,Big,Famous,Top_Category,Other
9.78E+12,3.94,8.62,187,27716,English,Big,Famous,Top_Category,Other
9.78E+12,4.28,5.8,916,125020,English,Big,Other,Top_Category,Other
9.78E+12,3.71,3.25,514,31644,English,Big,Other,Top_Category,Other
9.78E+12,3.87,1.91,190,56172,English,Big,Famous,Other,Other
